# {"t_start": 1661443862.23993, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,150,129.304452
1.0,153,129.583207
0.0,129,129.905759
3.0,234,130.289813
0.0,127,130.508137
7.0,326,131.077615
2.0,220,131.501046
1.0,155,131.755992
1.0,173,132.083782
1.0,174,132.373825
0.0,125,132.596069
4.0,280,133.022408
1.0,176,133.273256
4.0,278,133.723811
0.0,127,133.931211
0.0,127,134.130525
1.0,154,134.388403
0.0,127,134.58123
0.0,123,134.784709
3.0,235,135.21244
5.0,346,135.745315
2.0,220,136.126237
1.0,174,136.420136
1.0,173,136.72362
5.0,325,137.248685
1.0,177,137.567834
0.0,125,137.805008
3.0,270,138.298857
2.0,202,138.661176
3.0,272,139.144144
2.0,224,139.502477
3.0,250,139.888876
1.0,175,140.140332
0.0,125,140.330607
2.0,200,140.614766
2.0,220,140.988943
4.0,321,141.523689
4.0,297,142.020504
1.0,175,142.303384
2.0,227,142.683368
2.0,198,143.004505
1.0,175,143.326792
2.0,221,143.701284
2.0,201,144.026928
0.0,127,144.235353
2.0,223,144.575991
1.0,175,144.881731
0.0,123,145.150657
5.0,323,145.696338
3.0,248,146.12223
1.0,176,146.439411
2.0,200,146.780087
1.0,153,147.047442
4.0,322,147.621815
9.0,420,148.332501
6.0,372,148.990832
2.0,202,149.314869
0.0,127,149.527233
1.0,155,149.751489
2.0,204,150.096832
0.0,127,150.314488
0.0,127,150.514737
3.0,269,151.000361
1.0,174,151.305959
0.0,125,151.510427
2.0,200,151.821663
1.0,173,152.101104
1.0,152,152.391031
1.0,157,152.656653
3.0,237,153.038265
0.0,127,153.244846
3.0,252,153.653503
0.0,127,153.855676
0.0,125,154.06884
3.0,268,154.514616
0.0,127,154.74194
2.0,183,155.091787
1.0,174,155.372747
1.0,171,155.672081
0.0,125,155.875388
2.0,202,156.241437
3.0,255,156.654014
0.0,127,156.838812
2.0,202,157.158288
0.0,129,157.364492
7.0,410,158.014695
1.0,173,158.2744
6.0,373,158.877263
2.0,186,159.184093
0.0,125,159.3925
1.0,172,159.674163
1.0,173,159.967337
0.0,125,160.141347
1.0,178,160.428036
0.0,123,160.652724
6.0,377,161.227778
0.0,125,161.404627
4.0,277,161.85993
5.0,325,162.360594
0.0,127,162.561306
1.0,155,162.77223
2.0,218,163.276783
0.0,125,163.493445
6.0,392,164.124787
5.0,350,164.662304
1.0,171,164.921941
1.0,172,165.211797
